	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
527	Kinjo	2206 Polk St,San Francisco,CA,94109	Japanese,Sushi Bars	Above $61	4.0	137	Closed	Closed	6:00 pm - 9:00 pm	6:00 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	NULL	No
528	Delancey Street Restaurant	600 The Embarcadero,San Francisco,CA,94107	American (Traditional),Breakfast & Brunch	$11-30	4.0	1597	Closed	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	No	No	Yes	Valet, Street	NULL	Yes	No	NULL	No
529	NooBowl	865 Market St,San Francisco,CA,94103			3.5	10								No	NULL	No	NULL	NULL	NULL	NULL	NULL	Yes
530	Calibur	68 W Portal Ave,San Francisco,CA,94127	Burgers,American (Traditional)	$11-30	4.0	404	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	Yes	Free	No	Street	NULL	Yes	No	No	Yes
531	El Burrito Express	1812 Divisadero St,San Francisco,CA,94115	Mexican,Seafood,Breakfast & Brunch	Under $10	4.0	743	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	11:00 am - 9:00 pm	Closed	No	No	No	Street	Yes	Yes	No	No	Yes
532	Sizzling Pot King	139 8th St,San Francisco,CA,94103	Szechuan	$11-30	3.5	175	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
533	Jane on Fillmore	2123 Fillmore St,San Francisco,CA,94115	Coffee & Tea,Bakeries,Breakfast & Brunch	$11-30	4.0	1008	7:00 am - 6:00 pm	7:00 am - 6:00 pm	7:00 am - 6:00 pm	7:00 am - 6:00 pm	7:00 am - 6:00 pm	7:00 am - 6:00 pm	7:00 am - 6:00 pm	No	Free	No	Street	Yes	Yes	Yes	No	Yes
534	One Market Restaurant	1 Market St,San Francisco,CA,94105	American (New)	$31-60	3.5	1316	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	5:30 pm - 9:00 pm	Closed	NULL	Free	Yes	Valet	NULL	Yes	Yes	NULL	No
535	Foghorn Taproom	450 Balboa St,San Francisco,CA,94118	Chicken Wings,Beer Bar	$11-30	4.0	56	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	NULL	NULL	No	Street	NULL	Yes	NULL	NULL	NULL
536	Aditi Indian Cuisine	1101 Valencia St,San Francisco,CA,94110	Indian	$11-30	4.5	92	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 10:00 pm	Yes	Free	Yes	Street	Yes	Yes	NULL	NULL	Yes
537	Grubbin'	1404 Taraval St,San Francisco,CA,94116	Sandwiches	Under $10	4.5	481	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	Yes	Free	No	Street	Yes	Yes	Yes	Yes	Yes
538	Aicha Moroccan Cuisine	1303 Polk St,San Francisco,CA,94109	Moroccan,Halal,Middle Eastern	$11-30	4.0	494	4:00 pm - 9:30 pm	4:00 pm - 9:30 pm	4:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
539	Sweet Lime Thai Cuisine	2100 Sutter St,San Francisco,CA,94115	Thai,Gluten-Free	$11-30	4.0	481	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	Closed	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	5:00 pm - 9:30 pm	Yes	No	Yes	Street	NULL	Yes	No	NULL	Yes
540	Petit Crenn	609 Hayes St,San Francisco,CA,94102	French	Above $61	4.0	433	Closed	5:00 pm - 9:15 pm	5:00 pm - 9:15 pm	5:00 pm - 9:15 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	No	No	Yes	Street	Yes	Yes	No	NULL	No
541	House of Thai	901 Larkin St,San Francisco,CA,94109	Thai,Noodles	$11-30	4.0	1367	11:00 am - 3:00 pm,4:00 pm - 11:00 pm	11:00 am - 3:00 pm,4:00 pm - 11:00 pm	11:00 am - 3:00 pm,4:00 pm - 11:00 pm	11:00 am - 3:00 pm,4:00 pm - 11:00 pm	11:00 am - 3:00 pm,4:00 pm - 12:00 am	11:30 am - 12:00 am	11:30 am - 11:00 pm	Yes	No	Yes	Street	Yes	Yes	Yes	No	Yes
542	Holy Cluck	1760 Missouri St,San Francisco,CA,94124			3.5	13	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 2:00 am	11:00 am - 2:00 am	11:00 am - 10:00 pm	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes
543	Super Pan	5344 Geary Blvd,San Francisco,CA,94121	Teppanyaki,Ramen,Hot Pot	$11-30	4.0	366	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
544	Birba	458 Grove St,San Francisco,CA,94102	Wine Bars,American (New)	$11-30	4.5	117	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	3:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	3:00 pm - 8:00 pm	Yes	No	No	Street	NULL	Yes	NULL	NULL	Yes
545	Belly	5740 Geary Blvd,San Francisco,CA,94121	Burgers,Sandwiches	Under $10	4.0	391	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:00 pm	11:30 am - 9:00 pm	No	Free	No	Street, Private Lot	NULL	Yes	Yes	NULL	Yes
546	Sasa	22 Peace Plz,Ste 530,San Francisco,CA,94115	Japanese,Sushi Bars	$31-60	4.0	217	Closed	12:00 pm - 2:00 pm,5:30 pm - 9:30 pm	12:00 pm - 2:00 pm,5:30 pm - 9:30 pm	12:00 pm - 2:00 pm,5:30 pm - 9:30 pm	12:00 pm - 2:00 pm,5:30 pm - 10:00 pm	12:00 pm - 2:30 pm,5:30 pm - 10:00 pm	12:00 pm - 2:30 pm,5:30 pm - 9:30 pm	No	No	Yes	Garage, Street	NULL	Yes	No	NULL	No
547	Turtle Tower	645 Larkin St,San Francisco,CA,94109	Vietnamese,Noodles	$11-30	4.0	760	8:00 am - 5:00 pm	8:00 am - 5:00 pm	8:00 am - 5:00 pm	Closed	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	No	No	No	Street	NULL	Yes	No	No	Yes
548	Balompie Cafe	3349 18th St,San Francisco,CA,94110	Salvadoran	$11-30	4.0	653	Closed	8:00 am - 9:30 pm	8:00 am - 9:30 pm	8:00 am - 9:30 pm	8:00 am - 9:30 pm	8:00 am - 9:30 pm	8:00 am - 9:30 pm	Yes	No	No	Street	NULL	Yes	No	NULL	Yes
549	Blue Barn Gourmet	2237 Polk St,San Francisco,CA,94109	Salad,Delis,Sandwiches	$11-30	4.0	520	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	No	Free	No	Street	NULL	Yes	No	NULL	Yes
550	Mamanoko	2317 Chestnut St,San Francisco,CA,94123	Japanese,Cocktail Bars,Sushi Bars	$11-30	4.0	228	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	12:00 pm - 3:30 pm,5:00 pm - 10:00 pm	12:00 pm - 3:30 pm,5:00 pm - 10:00 pm	12:00 pm - 3:30 pm,5:00 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	Yes	NULL	Yes
551	1601 Bar & Kitchen	1601 Howard St,San Francisco,CA,94103	Asian Fusion,Wine Bars,Sri Lankan	$31-60	4.0	278	Closed	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	Closed	No	Free	Yes	Garage, Street	NULL	Yes	No	NULL	Yes
552	Fresca	737 Irving St,San Francisco,CA,94122	Latin American,Peruvian	$11-30	3.5	290	11:30 am - 9:00 pm	Closed	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 9:00 pm	Yes	Free	Yes	Street	NULL	Yes	No	No	Yes
553	Odumak	733 Taraval St,San Francisco,CA,94116	Chicken Wings,Korean	$11-30	4.0	112	6:00 pm - 12:00 am	Closed	6:00 pm - 12:00 am	6:00 pm - 12:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 12:00 am	Yes	No	No	Street	NULL	Yes	NULL	NULL	Yes
554	Comstock Saloon	155 Columbus Ave,San Francisco,CA,94133	Lounges,American (New)	$11-30	4.0	965	4:00 pm - 12:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	12:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 12:00 am	No	No	Yes	Garage, Street	NULL	Yes	No	No	Yes
555	Za Pizza	1919 Hyde St,San Francisco,CA,94109	Pizza	Under $10	4.0	1123	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 9:30 pm	Yes	No	No	Garage, Street	NULL	Yes	No	No	Yes
556	Yank Sing	49 Stevenson St,San Francisco,CA,94105	Dim Sum,Cantonese	$11-30	3.5	1594	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm	No	No	Yes	Garage, Street, Private Lot, Validated	Yes	Yes	No	NULL	Yes
557	Shanghai Dumpling King	696 Monterey Blvd,San Francisco,CA,94127	Shanghainese	$11-30	3.5	504	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	Closed	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	11:00 am - 2:30 pm,4:30 pm - 9:00 pm	Yes	No	No	Street, Private Lot	Yes	Yes	No	No	Yes
558	Anomaly	San Francisco,CA,94105			5.0	48	Closed	Closed	Closed	Closed	Closed	Closed	6:00 pm - 10:30 pm	No	No	Yes	Street	NULL	Yes	NULL	No	No
559	The Dark Horse Inn	942 Geneva Ave,San Francisco,CA,94112	Pubs,Comfort Food,American (Traditional)	$11-30	4.5	313	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	1:00 pm - 9:00 pm	No	No	No	Street	NULL	Yes	No	No	Yes
560	The Saratoga	1000 Larkin St,San Francisco,CA,94109	American (New),Bars	$31-60	4.0	332	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	11:00 am - 3:00 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
561	Ruth's Chris Steak House	1601 Van Ness Ave,San Francisco,CA,94109	Steakhouses	$31-60	4.0	2125	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 9:30 pm	4:30 pm - 9:30 pm	4:00 pm - 9:00 pm	Yes	Free	Yes	Valet, Street	Yes	Yes	No	No	Yes
562	The Pub At Ghirardelli Square	851 Beach St,San Francisco,CA,94109	Barbeque,Pubs,American (Traditional)	$11-30	3.5	919	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	No	Yes	Garage, Street, Validated	NULL	Yes	No	NULL	Yes
563	Sake Bomb	2878 24th St,San Francisco,CA,94110	Japanese,Sushi Bars	$11-30	4.5	101	12:00 pm - 3:00 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 10:30 pm	12:00 pm - 3:00 pm,5:00 pm - 10:30 pm	5:00 pm - 9:30 pm	Yes	NULL	Yes	NULL	NULL	Yes	NULL	NULL	Yes
564	The Barrel Room	415 Sansome St,San Francisco,CA,94111	Wine Bars,Restaurants,Cocktail Bars	$11-30	4.0	316	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	Free	Yes	Street	Yes	Yes	No	No	Yes
565	Kusina Ni Tess	237 Ellis St,San Francisco,CA,94102	Filipino	Under $10	4.0	264	7:00 am - 5:00 pm	7:00 am - 5:00 pm	7:00 am - 5:00 pm	7:00 am - 5:00 pm	7:00 am - 5:00 pm	8:00 am - 4:00 pm	Closed	Yes	No	No	Street	NULL	No	No	NULL	Yes
566	Wang Dae Bak	2642 Ocean Ave,San Francisco,CA,94132	Korean,Bars	$11-30	3.5	288	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 12:00 am	No	No	Yes	Street	NULL	Yes	No	No	Yes
567	Mauerpark	500 Church St,San Francisco,CA,94114			4.5	66	Closed	7:00 am - 5:00 pm	7:00 am - 5:00 pm	7:00 am - 9:00 pm	7:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 5:00 pm	No	Free	No	NULL	NULL	Yes	NULL	NULL	No
568	Nijiya Market - San Francisco	1737 Post St,San Francisco,CA,94115	Japanese,International Grocery,Seafood Markets	$11-30	4.0	860	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	NULL	NULL	NULL	Garage, Street, Private Lot, Validated	NULL	Yes	Yes	Yes	Yes
569	Akira Japanese Restaurant	1634 Bush St,San Francisco,CA,94109	Japanese,Sushi Bars	$11-30	4.5	352	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	Closed	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
570	My Canh	626 Broadway,San Francisco,CA,94133	Vietnamese,Noodles	Under $10	3.5	514	Closed	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	No	No	No	Street, Private Lot	NULL	No	No	No	Yes
571	Superstar Restaurant	4919 Mission St,San Francisco,CA,94112	Filipino,Chinese	Under $10	4.5	415	9:00 am - 6:00 pm	9:00 am - 6:00 pm	9:00 am - 6:00 pm	9:00 am - 6:00 pm	9:00 am - 6:00 pm	9:00 am - 6:00 pm	Closed	No	No	No	Street, Private Lot	NULL	No	No	No	Yes
572	Park Gyros - Castro	449 Castro St,San Francisco,CA,94114	Turkish,Mediterranean,Kebab	$11-30	4.0	201	11:00 am - 10:30 pm	Closed	10:00 am - 10:30 pm	10:00 am - 11:30 pm	10:00 am - 11:30 pm	10:00 am - 11:30 pm	11:00 am - 9:30 pm	Yes	Free	No	Street	NULL	Yes	Yes	Yes	Yes
573	Aha Fresh	4007 24th St,San Francisco,CA,94114	Breakfast & Brunch,Burgers	$11-30	4.0	1009	8:30 am - 2:00 pm	8:30 am - 2:00 pm	8:30 am - 2:00 pm	8:30 am - 2:00 pm	8:30 am - 2:00 pm	8:30 am - 2:30 pm	8:30 am - 2:30 pm	No	No	No	Street	Yes	Yes	No	Yes	Yes
574	Richmond Republic Draught House	642 Clement St,San Francisco,CA,94118	Pubs,Burgers,Tapas Bars	$11-30	4.0	382	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 1:00 am	9:30 am - 1:00 am	9:30 am - 12:00 am	Yes	Free	No	Street	NULL	Yes	No	No	Yes
575	Cheung Hing	2339 Noriega St,San Francisco,CA,94122	Chinese,Barbeque	Under $10	4.0	659	9:00 am - 8:30 pm	9:00 am - 8:30 pm	9:00 am - 8:30 pm	9:00 am - 8:30 pm	9:00 am - 8:30 pm	9:00 am - 8:30 pm	9:00 am - 8:00 pm	No	No	No	Street	NULL	No	No	No	Yes
576	Bar Agricole	355 11th St,San Francisco,CA,94103	Bars,American (New)	$31-60	3.5	1073	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	Closed	No	Free	Yes	Street	NULL	Yes	No	NULL	No
577	Kaiju Eats Ramen and Izakaya	3409 Geary Blvd,San Francisco,CA,94118	Sushi Bars,Ramen,Izakaya	$11-30	4.0	754	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 10:00 pm	12:00 pm - 3:00 pm,5:00 pm - 9:30 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
578	Parker Potrero	1399 18th St,San Francisco,CA,94107	American (New)	$11-30	4.5	182	8:30 am - 9:00 pm	8:30 am - 9:00 pm	8:30 am - 9:00 pm	8:30 am - 9:00 pm	8:30 am - 9:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	Yes	No	No	Street	NULL	Yes	Yes	Yes	Yes
579	RT Rotisserie	101 Oak St,San Francisco,CA,94102	Salad,Soup,Sandwiches	$11-30	4.0	426	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
580	Thai Nghiep Ky Mi Gia	1427 Noriega St,San Francisco,CA,94122	Vietnamese,Chinese,Noodles	Under $10	4.0	411	11:00 am - 9:00 pm	Closed	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	No	No	Street	NULL	Yes	No	No	Yes
581	Stem Kitchen & Garden	499 Illinois St,San Francisco,CA,94158	American (New),Mediterranean,Bars	$11-30	3.5	391	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	Closed	Closed	No	Free	Yes	Garage, Street	Yes	Yes	No	NULL	Yes
582	A16	2355 Chestnut St,San Francisco,CA,94123	Italian,Pizza	$31-60	3.5	1990	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	11:30 am - 2:30 pm,5:30 pm - 11:00 pm	11:30 am - 2:30 pm,5:00 pm - 11:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	No	No
583	The Big 4	1075 California St,San Francisco,CA,94108	Lounges,American (New),Breakfast & Brunch	$31-60	4.0	656	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:00 pm,6:00 pm - 10:00 pm	6:30 am - 2:30 pm,6:00 pm - 10:00 pm	No	Free	Yes	Valet, Street, Validated	NULL	Yes	No	NULL	Yes
584	Corridor Restaurant	100 Van Ness Ave,San Francisco,CA,94102	American (New)	$11-30	4.0	389	7:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 9:30 pm	9:00 am - 2:00 pm,4:00 pm - 9:30 pm	4:00 pm - 9:00 pm	No	Free	Yes	Street	Yes	Yes	No	No	Yes
585	Coin-Op Game Room	508 4th St,San Francisco,CA,94107	Bars,Venues & Event Spaces,American (New)	$11-30	4.5	513	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 2:00 am	2:00 pm - 2:00 am	2:00 pm - 12:00 am	No	Free	No	Street	NULL	Yes	No	No	No
586	Ono Hawaiian BBQ	1501 Sloat Blvd,Ste A,San Francisco,CA,94132	Hawaiian,Barbeque	$11-30	3.0	389	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	No	No	No	Private Lot	NULL	Yes	No	NULL	Yes
587	Gracias Madre	2211 Mission St,San Francisco,CA,94110	Mexican,Desserts,Cocktail Bars	$11-30	4.0	3236	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm	Yes	No	Yes	Valet, Street	Yes	Yes	No	No	Yes
588	Curbside Cafe	2417 California St,San Francisco,CA,94115	Breakfast & Brunch,French,American (New)	$11-30	4.0	739	9:00 am - 9:30 pm	9:00 am - 9:30 pm	9:00 am - 9:30 pm	9:00 am - 9:30 pm	9:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 9:30 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
589	Dobbs Ferry Restaurant	409 Gough St,San Francisco,CA,94102	American (Traditional),Italian,Desserts	$11-30	4.0	597	5:00 pm - 9:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
590	Ichi Sando	1581 Webster St,San Francisco,CA,94115	Sandwiches,Ice Cream & Frozen Yogurt	$11-30	4.0	87	Closed	Closed	Closed	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	NULL	No	No	Garage	NULL	Yes	Yes	NULL	Yes
591	La Folie	2316 Polk St,San Francisco,CA,94109	French,Wine Bars	Above $61	4.5	1458	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	No	Yes	Valet, Private Lot	NULL	Yes	No	No	No
592	Barbarossa Lounge	714 Montgomery St,San Francisco,CA,94111	American (New),Cocktail Bars,Venues & Event Spaces	$11-30	4.0	452	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	6:00 pm - 2:00 am	Closed	No	Free	Yes	Street	NULL	Yes	No	No	No
593	Tacolicious	2250 Chestnut St,San Francisco,CA,94123	Mexican,Cocktail Bars	$11-30	3.5	1609	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
594	Shin Toe Bul Yi	2001 Taraval St,San Francisco,CA,94116	Korean	$11-30	4.0	611	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 2:30 pm,5:00 pm - 9:30 pm	Closed	No	No	No	Street	NULL	Yes	No	No	Yes
595	1760	1760 Polk St,San Francisco,CA,94109	American (New),Bars,American (Traditional)	$31-60	4.0	704	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	Closed	No	No	Yes	Street	NULL	Yes	No	NULL	No
596	Zen Yai Thai Restaurant	771 Ellis St,San Francisco,CA,94109	Thai	Under $10	4.0	709	11:00 am - 3:00 pm,4:00 pm - 9:00 pm	Closed	11:00 am - 9:00 pm	11:00 am - 3:00 pm,4:00 pm - 9:00 pm	11:00 am - 3:00 pm,4:00 pm - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
597	Alexander's Steakhouse	448 Brannan St,San Francisco,CA,94107	Steakhouses,Seafood,American (New)	Above $61	4.0	1721	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 9:00 pm	No	Free	Yes	Valet, Street	NULL	Yes	No	No	No
