	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
72	Mr Szechuan	890 Taraval St,San Francisco,CA,94116	Chinese,Bubble Tea,Shaved Ice	$11-30	4.5	223	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	Closed	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
73	Bota Tapas & Paella Bar	490 Geary St,San Francisco,CA,94102	Spanish,Seafood,Tapas/Small Plates	$31-60	4.0	287	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	7:00 am - 10:30 am,11:30 am - 2:30 pm,5:00 pm - 9:45 pm	9:00 am - 5:00 pm	Yes	Free	Yes	Garage, Street	Yes	Yes	No	NULL	Yes
74	Kitchen Istanbul	349 Clement St,San Francisco,CA,94118	Greek,Turkish,Mediterranean	$31-60	4.5	476	5:00 pm - 9:30 pm	Closed	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
75	Mission Rock Resort	817 Terry Francois Blvd,San Francisco,CA,94158	Seafood,American (New)	$11-30	3.5	950	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 8:00 pm	Yes	Free	Yes	Street	NULL	Yes	No	No	Yes
76	Parada 22	1805 Haight St,San Francisco,CA,94117	Latin American,Puerto Rican	$11-30	4.0	1194	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
77	Golden Crab House	1830 Irving St,San Francisco,CA,94122	Seafood,Vietnamese,Asian Fusion	$31-60	4.5	217	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 9:30 pm	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
78	The Little Chihuahua	292 Divisadero St,San Francisco,CA,94117	Mexican	$11-30	4.0	1472	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	No	No	No	Street	NULL	Yes	Yes	NULL	Yes
79	Barzotto	1270 Valencia St,San Francisco,CA,94110	Italian	$11-30	4.0	631	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Yes	Free	No	Street	Yes	Yes	Yes	Yes	Yes
80	Hu Tong Jian Bing	2291 3rd St,San Francisco,CA,94107			4.5	13	11:00 am - 7:00 pm	11:00 am - 7:00 pm	Closed	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
81	Mozzeria	3228 16th St,San Francisco,CA,94103	Pizza,Italian	$11-30	4.5	797	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
82	Izakaya Sozai	1500 Irving St,San Francisco,CA,94122	Ramen,Izakaya,Noodles	$11-30	4.0	2074	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 9:30 pm	No	No	Yes	Street, Private Lot	NULL	Yes	No	NULL	Yes
83	Lark	4068 18th St,San Francisco,CA,94114	American (New),Mediterranean,Wine Bars	$11-30	4.0	289	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	No	Free	Yes	Street	NULL	Yes	No	NULL	Yes
